index=387, ans=false, vars=16210, clauses=135191
index=388, ans=false, vars=43979, clauses=284523
index=389, ans=true, vars=50081, clauses=292393
index=390, ans=true, vars=82511, clauses=443345
index=391, ans=true, vars=27951, clauses=180551
index=392, ans=false, vars=59304, clauses=332553
index=393, ans=true, vars=33335, clauses=227781
index=394, ans=true, vars=17232, clauses=139212
index=395, ans=false, vars=35123, clauses=234102
index=396, ans=false, vars=41359, clauses=242667
index=397, ans=false, vars=54858, clauses=329627
index=398, ans=true, vars=59849, clauses=359431
index=399, ans=false, vars=37034, clauses=217026
index=400, ans=true, vars=13287, clauses=117899
index=401, ans=false, vars=24489, clauses=161488
index=402, ans=false, vars=35510, clauses=224189
index=403, ans=false, vars=24178, clauses=179326
index=404, ans=true, vars=40000, clauses=245188
index=405, ans=true, vars=11993, clauses=112435
index=406, ans=true, vars=38904, clauses=219632
index=407, ans=false, vars=33738, clauses=224155
index=408, ans=false, vars=27516, clauses=179326
index=409, ans=true, vars=24727, clauses=179849
index=410, ans=true, vars=55503, clauses=342246
index=411, ans=false, vars=53751, clauses=295462
index=412, ans=true, vars=47244, clauses=283979
index=413, ans=false, vars=22364, clauses=161169
index=414, ans=false, vars=40636, clauses=258041
index=415, ans=false, vars=24139, clauses=167783
index=416, ans=false, vars=32304, clauses=211277
index=417, ans=false, vars=66887, clauses=378130
index=418, ans=false, vars=84745, clauses=446894
index=419, ans=false, vars=27847, clauses=206515
index=420, ans=false, vars=17295, clauses=154284
index=421, ans=false, vars=75793, clauses=434366
index=422, ans=false, vars=16439, clauses=117251
index=423, ans=false, vars=57658, clauses=331249
index=424, ans=true, vars=22178, clauses=173740
index=425, ans=false, vars=31209, clauses=208340
index=426, ans=false, vars=23894, clauses=148951
index=427, ans=false, vars=33295, clauses=200936
index=428, ans=true, vars=29684, clauses=203456
index=429, ans=false, vars=30205, clauses=207705
index=430, ans=false, vars=26704, clauses=188026
index=431, ans=true, vars=35522, clauses=236414
index=432, ans=false, vars=28290, clauses=192283
index=433, ans=false, vars=14416, clauses=122649
index=434, ans=false, vars=52040, clauses=319877
index=435, ans=true, vars=68919, clauses=410248
index=436, ans=true, vars=37310, clauses=238306
index=437, ans=true, vars=44622, clauses=293222
index=438, ans=false, vars=45875, clauses=295021
index=439, ans=false, vars=15578, clauses=121619
index=440, ans=false, vars=17772, clauses=128293
index=441, ans=true, vars=24024, clauses=173837
index=442, ans=false, vars=29726, clauses=191568
index=443, ans=false, vars=111080, clauses=597761
index=444, ans=false, vars=64761, clauses=381567
index=445, ans=false, vars=40760, clauses=245925
index=446, ans=false, vars=22672, clauses=140241
index=447, ans=true, vars=55132, clauses=335739
index=448, ans=true, vars=59756, clauses=325301
index=449, ans=false, vars=40882, clauses=240821
index=450, ans=false, vars=43513, clauses=269960
index=451, ans=true, vars=19993, clauses=155672
index=452, ans=false, vars=30126, clauses=208497
index=453, ans=false, vars=23751, clauses=173599
index=454, ans=true, vars=51228, clauses=294829
index=455, ans=false, vars=22511, clauses=176958
index=456, ans=false, vars=34803, clauses=233597
index=457, ans=true, vars=25034, clauses=200081
index=458, ans=false, vars=37189, clauses=215677
index=459, ans=false, vars=52934, clauses=327293
index=460, ans=false, vars=26836, clauses=186797
index=461, ans=true, vars=40822, clauses=262904
index=462, ans=false, vars=39346, clauses=234630
index=463, ans=false, vars=60557, clauses=353315
index=464, ans=false, vars=21129, clauses=147357
index=465, ans=true, vars=24672, clauses=184618
index=466, ans=false, vars=19604, clauses=141138
index=467, ans=true, vars=78702, clauses=428545
index=468, ans=false, vars=30793, clauses=206465
index=469, ans=false, vars=61187, clauses=330414
index=470, ans=false, vars=41352, clauses=263212
index=471, ans=true, vars=22133, clauses=183825
index=472, ans=true, vars=39680, clauses=244048
index=473, ans=false, vars=43200, clauses=247155
index=474, ans=true, vars=47150, clauses=280224
index=475, ans=false, vars=27922, clauses=189075
index=476, ans=false, vars=22370, clauses=154199
index=477, ans=false, vars=21790, clauses=155147
index=478, ans=false, vars=18759, clauses=144518
index=479, ans=false, vars=18157, clauses=135183
index=480, ans=false, vars=37012, clauses=238912
index=481, ans=false, vars=70919, clauses=385941
index=482, ans=true, vars=36451, clauses=225626
index=483, ans=false, vars=23295, clauses=184587
index=484, ans=true, vars=49956, clauses=282075
index=485, ans=false, vars=72840, clauses=400548
index=486, ans=true, vars=32789, clauses=227643
index=487, ans=false, vars=49754, clauses=294465
index=488, ans=true, vars=33514, clauses=213103
index=489, ans=false, vars=35577, clauses=226695
index=490, ans=true, vars=19812, clauses=155644
index=491, ans=false, vars=33201, clauses=213430
index=492, ans=false, vars=72882, clauses=402677
index=493, ans=false, vars=16258, clauses=123077
index=494, ans=true, vars=53379, clauses=323681
index=495, ans=false, vars=25699, clauses=174570
index=496, ans=false, vars=74197, clauses=410153
index=497, ans=false, vars=21543, clauses=152790
index=498, ans=true, vars=17332, clauses=123563
index=499, ans=false, vars=58086, clauses=326973
index=500, ans=false, vars=24410, clauses=183346
index=501, ans=false, vars=57934, clauses=328661
index=502, ans=false, vars=33345, clauses=217023
index=503, ans=false, vars=21702, clauses=161656
index=504, ans=false, vars=29802, clauses=210210
index=505, ans=true, vars=31268, clauses=222155
index=506, ans=false, vars=22095, clauses=174236
index=507, ans=false, vars=20455, clauses=152395
index=508, ans=false, vars=40108, clauses=254534
index=509, ans=false, vars=41636, clauses=263680
index=510, ans=false, vars=31861, clauses=222432
index=511, ans=false, vars=20481, clauses=146455
index=512, ans=false, vars=34348, clauses=224254
index=513, ans=true, vars=61738, clauses=350493
index=514, ans=false, vars=25795, clauses=182554
index=515, ans=true, vars=48930, clauses=310947
index=516, ans=false, vars=71249, clauses=399331
index=517, ans=true, vars=34590, clauses=235939
index=518, ans=false, vars=39041, clauses=241218
index=519, ans=false, vars=84148, clauses=453308
index=520, ans=true, vars=36316, clauses=248423
index=521, ans=true, vars=72824, clauses=400637
index=522, ans=false, vars=47080, clauses=291978
index=523, ans=false, vars=14354, clauses=109670
index=524, ans=false, vars=12329, clauses=114686
index=525, ans=false, vars=32934, clauses=211445
index=526, ans=false, vars=37489, clauses=229639
index=527, ans=false, vars=23081, clauses=170817
index=528, ans=false, vars=30979, clauses=186876
index=529, ans=false, vars=55341, clauses=327377
index=530, ans=false, vars=38644, clauses=255087
index=531, ans=false, vars=60182, clauses=363433
index=532, ans=false, vars=12668, clauses=96123
index=533, ans=false, vars=19706, clauses=138414
index=534, ans=false, vars=26860, clauses=183510
index=535, ans=false, vars=23599, clauses=161923
index=536, ans=false, vars=48952, clauses=261512
index=537, ans=false, vars=53688, clauses=301683
index=538, ans=true, vars=52951, clauses=311454
index=539, ans=false, vars=28571, clauses=209749
index=540, ans=true, vars=34278, clauses=218428
index=541, ans=true, vars=71696, clauses=395742
index=542, ans=true, vars=37317, clauses=226673
index=543, ans=false, vars=25195, clauses=190346
index=544, ans=false, vars=25068, clauses=177475
index=545, ans=false, vars=68432, clauses=399910
index=546, ans=false, vars=61315, clauses=344721
index=547, ans=false, vars=52205, clauses=306275
index=548, ans=false, vars=40069, clauses=267456
index=549, ans=false, vars=39122, clauses=255786
index=550, ans=false, vars=21286, clauses=164216
index=551, ans=false, vars=37695, clauses=236887
index=552, ans=true, vars=61164, clauses=339860
index=553, ans=true, vars=38104, clauses=254154
index=554, ans=false, vars=53248, clauses=310040
index=555, ans=true, vars=53492, clauses=314525
index=556, ans=false, vars=33231, clauses=224737
index=557, ans=false, vars=18813, clauses=137685
index=558, ans=true, vars=25184, clauses=172455
index=559, ans=false, vars=22522, clauses=156016
index=560, ans=false, vars=37802, clauses=245743
index=561, ans=false, vars=31876, clauses=224636
index=562, ans=false, vars=64277, clauses=353432
index=563, ans=false, vars=77551, clauses=428723
index=564, ans=false, vars=20742, clauses=151065
index=565, ans=false, vars=38720, clauses=231976
